SNDG	ELIGIBLE_FIN_STAT_COND_1	ELIGIBLE_FIN_STAT_COND_2	ELIGIBLE_FIN_STAT_COND_3	ELIGIBLE_FIN_STAT_COND_4	ELIGIBLE_FIN_STAT_COND_5	ELIGIBLE_FIN_STAT_COND_6	ELIGIBLE_FIN_STAT_COND_7	ELIGIBLE_FIN_STAT_COND_8	ELIGIBLE_FIN_STAT_COND_9	NUM_IND_3	IND_03_	NUM_IND_4	DEN_IND_4	IND_04_	NUM_IND_5	DEN_IND_5	IND_05_	BR3	BR4	BR5	BR000009	BR000001	colore	COLOR_APP
0000000052829020	1	1	1	1	1	0	0	0	0	6338000,000000	?	14017000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016868495	1	1	1	1	1	0	1	1	1	20000,000000	?	239000,000000	2719000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000080991952	1	1	1	1	1	1	1	1	1	-340000,000000	-0,789	0,000000	1000000,000000	0,000	?	?	?	1	1	0	0	0	?	S10
0000000066603193	1	1	1	1	1	1	1	1	1	-1580000,000000	-0,275	2588000,000000	61600000,000000	0,042	?	?	?	1	1	0	0	0	?	S01
0000000017739027	1	1	1	1	1	1	1	1	1	15000,000000	0,006	49000,000000	6892000,000000	0,007	?	?	?	1	1	0	0	0	?	S01
0000000017058263	1	1	1	1	1	1	1	1	1	1000,000000	0,004	253000,000000	2471000,000000	0,102	?	?	?	1	1	0	0	0	?	S01
0000000017064485	1	1	1	1	1	1	1	1	1	6000,000000	0,015	2352000,000000	1715000,000000	1,371	?	?	?	1	0	0	0	0	?	S01
0000000027183658	1	1	1	1	1	0	1	1	1	-6194000,000000	?	-3255000,000000	24749000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047252254	1	1	1	1	1	0	1	1	1	14000,000000	?	-69000,000000	5095000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000028082913	1	1	1	1	1	0	0	0	0	21000,000000	?	6957000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000026800657	1	1	1	1	1	0	1	1	1	16000,000000	?	81000,000000	172000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017075709	1	1	1	1	1	0	0	0	0	999000,000000	?	82000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000081398479	1	1	1	1	1	1	1	1	1	3000,000000	0,048	-14000,000000	2694000,000000	-0,005	?	?	?	1	1	0	0	0	?	S01
0000000047335623	1	1	1	1	1	0	0	0	0	-395000,000000	?	170000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000074274073	1	1	1	1	1	0	1	1	1	-100000,000000	?	-49000,000000	2185000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047915468	1	1	1	1	1	0	1	1	1	10307000,000000	?	221000,000000	2450000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000086534928	1	1	1	1	1	0	1	1	1	-2000,000000	?	-157000,000000	1090000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017292752	1	1	1	1	1	0	1	1	1	18000,000000	?	291000,000000	3752000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000069408840	1	1	1	1	1	1	1	1	1	11000,000000	0,074	4159000,000000	6831000,000000	0,609	?	?	?	1	0	0	0	0	?	S01
0000000047262677	1	1	1	1	1	0	0	0	0	1711000,000000	?	1377000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016535520	1	1	1	1	1	0	1	1	1	-2364000,000000	?	-88000,000000	1847000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047244740	1	1	1	1	1	1	1	1	1	6000,000000	0,048	114000,000000	1466000,000000	0,078	?	?	?	1	1	0	0	0	?	S01
0000000027012190	1	1	1	1	1	0	1	1	1	1203000,000000	?	1508000,000000	4498000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016915342	1	1	1	1	1	1	1	1	1	256000,000000	0,004	1532000,000000	4595000,000000	0,333	?	?	?	1	1	0	0	0	?	S01
0000000017324977	1	1	1	1	1	1	1	1	1	10000,000000	0,013	44000,000000	5598000,000000	0,008	?	?	?	1	1	0	0	0	?	S01
0000000017513028	1	1	1	1	1	0	0	0	0	3103000,000000	?	15105000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016711245	1	1	1	1	1	1	1	1	1	-233000,000000	-0,134	25000,000000	2719000,000000	0,009	?	?	?	1	1	0	0	0	?	S01
0000000017858229	1	1	1	1	1	0	1	1	1	799000,000000	?	1434000,000000	28598000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016824766	1	1	1	1	1	1	1	1	1	-189000,000000	-0,058	22000,000000	1220000,000000	0,018	?	?	?	1	1	0	0	0	?	S01
0000000047915380	1	1	1	1	1	0	1	1	1	165000,000000	?	126000,000000	2338000,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000017344085	1	1	1	1	1	1	1	1	1	55000,000000	0,327	-236000,000000	3828000,000000	-0,062	?	?	?	1	1	0	0	0	?	S01
0000000047713165	1	1	1	1	1	1	1	1	1	75000,000000	0,102	378000,000000	2507000,000000	0,151	?	?	?	1	1	0	0	0	?	S10
0000000085970826	1	1	1	1	1	1	1	1	1	336000,000000	0,025	20000,000000	180000,000000	0,111	?	?	?	1	1	0	0	0	?	S01
0000000066682558	1	1	1	1	1	1	1	1	1	119000,000000	0,118	11006000,000000	15267000,000000	0,721	?	?	?	1	0	0	0	0	?	S01
0000000088616385	1	1	1	1	1	0	1	0	1	3000,000000	?	-1000,000000	1000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017550618	1	1	1	1	1	1	1	1	1	-2000,000000	-0,001	719000,000000	5846000,000000	0,123	?	?	?	1	1	0	0	0	?	S01
0000000016979896	1	1	1	1	1	1	1	1	1	-259000,000000	-0,452	-357000,000000	3247000,000000	-0,110	?	?	?	1	1	0	0	0	?	S01
