SNDG	NUM_IND_58	DEN_IND_58	IND_58	NUM_IND_55	DEN_IND_55	IND_55	NUM_IND_56	DEN_IND_56	IND_56	NUM_IND_57	DEN_IND_57	IND_57	COLOR_APP
0000000016893226	0,000000000000	95000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	118782,000000000000	118782,000000000000	1,000000000000	S00
0000000016581199	0,000000000000	219000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	37054,333333333333	40000,000000000000	0,926358333333	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000016579372	0,000000000000	31000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	25147,666666666667	25000,000000000000	1,005906666667	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000017341613	184044,333333333333	5390000,00	0,034145516388	154044,333333333333	200000,000000000000	0,770221666667	0,000000000000	0,000000000000	-1000000,000000000000	30000,000000000000	130000,000000000000	0,230769230769	S01
0000000016542141	0,000000000000	2458000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	25000,000000000000	0,000000000000	50072,000000000000	50072,000000000000	1,000000000000	S00
0000000058858440	0,000000000000	77000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	10000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000047713546	0,000000000000	191000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	44050,666666666667	56666,666666666667	0,777364705882	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000017396000	147936,333333333333	1705000,00	0,086766177908	147936,333333333333	200000,000000000000	0,739681666667	0,000000000000	5000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000016748912	0,000000000000	1920000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	112955,000000000000	150264,000000000000	0,751710323165	856211,000000000000	856211,000000000000	1,000000000000	S01
0000000080192725	0,000000000000	234000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	88859,000000000000	88859,000000000000	1,000000000000	S00
0000000017633702	3161,333333333333	301000,00	0,010502768549	3161,333333333333	50000,000000000000	0,063226666667	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000074389854	0,000000000000	489000,00	0,000000000000	0,000000000000	45000,000000000000	0,000000000000	0,000000000000	5000,000000000000	0,000000000000	135064,666666666667	172398,000000000000	0,783446830396	S00
0000000047292792	0,000000000000	131000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	433658,333333333333	433658,333333333333	1,000000000000	S00
0000000016576421	0,000000000000	1217000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	70,000000000000	0,000000000000	1000000,000000000000	825735,333333333333	825735,333333333333	1,000000000000	S00
0000000046914599	0,000000000000	245000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	25000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000069462722	0,000000000000	528000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	25000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
